Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
OAK,"Yandy Diaz, 1B TB",1,2.9,,,,,,7,,,,,,
OAK,"Edwin Uceta, RP TB",2,1.95,,,,,,7,,,,,,
OAK,"Kazuma Okamoto, 3B TOR",3,6.2,5,6.2,7.4,,,7,,5,7.4,4.96,7.44,TRUE
OAK,"George Springer, OF TOR",1,4.95,,,,,,7,,,,,,
OAK,"Kevin Gausman, SP TOR",1,4.9,,,,,,7,,,,,,
OAK,"Cody Ponce, SP TOR",2,2.4,,,,,,7,,,,,,
OAK,"Tyler Rogers, RP TOR",1,0.95,,,,,,7,,,,,,
DET,"Yandy Diaz, 1B TB",1,5.4,,,,,,8,,,,,,
DET,"George Springer, OF TOR",1,3.2,,,,,,8,,,,,,
DET,"Willson Contreras, 1B BOS",1,1.8,,,,,,8,,,,,,
DET,"Trent Grisham, OF NYY",1,1.8,,,,,,8,,,,,,
DET,"Nathan Lukes, OF TOR",2,0.75,,,,,,8,,,,,,
DET,"Max Fried, SP NYY",2,10.2,8.2,12.2,,,,8,,8.2,12.2,8.16,12.24,TRUE
DET,"Carlos Rodon, SP NYY",1,6.2,,,,,,8,,,,,,
DET,"Gerrit Cole, SP NYY",2,9.8,7.8,11.8,,,,8,,7.8,11.8,7.84,11.76,FALSE
DET,"Chris Bassit, SP BAL",1,2.8,,,,,,8,,,,,,
DET,"Max Scherzer, SP TOR",1,2.8,,,,,,8,,,,,,
DET,"Ryan Watson, SP BOS",1,0.8,,,,,,8,,,,,,
DET,"Patrick Sandoval, SP BOS",1,0.8,,,,,,8,,,,,,
DET,"Ryan Helsley, RP BAL",1,2.4,,,,,,8,,,,,,
DET,"Tyler Ross, RP TOR",1,1.5,,,,,,8,,,,,,
KC,"Willson Contreras, 1B BOS",1,6.52,,,,,,9,,,,,,
KC,"Ernie Clement, 1B/2B/3B/SS TOR",1,0.72,,,,,,9,,,,,,
KC,"Kazuma Okamoto, 3B TOR",3,6.52,,,,,,9,,,,,,
KC,"Ryan Helsley, RP BAL",1,7.52,,,,,,9,,,,,,
KC,"Gerrit Cole, SP NYY",4,6.5,,,,,,9,,,,,,
KC,"Chris Bassit, SP BAL",1,3.02,,,,,,9,,,,,,
KC,"Zach Eflin, SP BAL",1,1.02,,,,,,9,,,,,,
KC,"Anthony Santander, OF TOR",4,0.5,0.6,0.4,0.4,0.6,,9,,0.4,0.6,0.4,0.6,TRUE
KC,"Max Scherzer, SP TOR",4,0.62,0.5,0.5,0.74,0.74,,9,,0.5,0.74,0.496,0.744,TRUE
TB,"Camilo Doval, RP NYY",4,4.125,4.5,4.3,4,3.7,,10,,3.7,4.5,3.3,4.95,TRUE
CLE,"Yandy Diaz, 1B TB",2,5.34,,,,,,11,,,,,,
CLE,"Willson Contreras, 1B BOS",2,2.24,,,,,,11,,,,,,
CLE,"Ernie Clement, 1B/2B/3B/SS TOR",1,1.6,,,,,,11,,,,,,
CLE,"Gavin Lux, 2B/OF TB",1,0.46,,,,,,11,,,,,,
CLE,"Kazuma Okamoto, 3B TOR",3,3.11,,,,,,11,,,,,,
CLE,"George Springer, OF TOR",3,5.14,,,,,,11,,,,,,
CLE,"Trent Grisham, OF NYY",2,1.67,,,,,,11,,,,,,
CLE,"Kevin Gausman, SP TOR",2,4.78,,,,,,11,,,,,,
CLE,"Ranger Suarez, SP BOS",2,4.35,,,,,,11,,,,,,
CLE,"Max Fried, SP NYY",3,7.19,,,,,,11,,,,,,
CLE,"Carlos Rodon, SP NYY",3,4.01,,,,,,11,,,,,,
CLE,"Gerrit Cole, SP NYY",4,4.88,,,,,,11,,,,,,
CLE,"Chris Bassit, SP BAL",2,2.79,,,,,,11,,,,,,
CLE,"Nick Martinez, SP TB",2,1.65,,,,,,11,,,,,,
CLE,"Zach Eflin, SP BAL",2,2.05,,,,,,11,,,,,,
CLE,"Max Scherzer, SP TOR",1,1.55,,,,,,11,,,,,,
CLE,"Eric Lauer, SP TOR",1,0.67,,,,,,11,,,,,,
CLE,"Steven Matz, SP TB",1,0.87,,,,,,11,,,,,,
CLE,"Edwin Uceta, RP TB",3,0.55,,,,,,11,,,,,,
CLE,"Cody Ponce, SP TOR",2,1.59,,,,,,11,,,,,,
CLE,"Garrett Cleavinger, RP TB",2,0.51,,,,,,11,,,,,,
WAS,"Willson Contreras, 1B BOS",1,2,,,,,,12,,,,,,
WAS,"Yandy Diaz, 1B TB",1,3,,,,,,12,,,,,,
WAS,"George Springer, OF TOR",1,5,,,,,,12,,,,,,
WAS,"Edwin Uceta, RP TB",3,1,,,,,,12,,,,,,
WAS,"Garrett Cleavinger, RP TB",2,1,,,,,,12,,,,,,
WAS,"Camilo Doval, RP NYY",3,0.5,,,,,,12,,,,,,
WAS,"Andrew Kittredge, RP BAL",1,0.5,,,,,,12,,,,,,
SD,"Yandy Diaz, 1B TB",2,5.45,,,,,,13,,,,,,
SD,"Ernie Clement, 1B/2B/3B/SS TOR",2,3.45,,,,,,13,,,,,,
SD,"Gavin Lux, 2B/OF TB",2,2.34,,,,,,13,,,,,,
SD,"Kazuma Okamoto, 3B TOR",2,6.14,,,,,,13,,,,,,
SD,"George Springer, OF TOR",1,7.65,,,,,,13,,,,,,
SD,"Trent Grisham, OF NYY",1,5.43,,,,,,13,,,,,,
SD,"Max Fried, SP NYY",1,9.99,,,,,,13,,,,,,
SD,"Kevin Gausman, SP TOR",1,7.65,,,,,,13,,,,,,
SD,"Ranger Suarez, SP BOS",2,5.65,,,,,,13,,,,,,
SD,"Gerrit Cole, SP NYY",2,3.45,,,,,,13,,,,,,
CHC,"Max Fried, SP NYY",1,12.69,,,,,,14,,,,,,
CHC,"Gerrit Cole, SP NYY",1,6.99,,,,,,14,,,,,,
CHC,"Cody Ponce, SP TOR",1,3.99,,,,,,14,,,,,,
CHC,"Ryan Helsley, RP BAL",1,3.99,,,,,,14,,,,,,
CHC,"Ranger Suarez, SP BOS",1,3.99,,,,,,14,,,,,,
CHC,"Carlos Rodon, SP NYY",2,4.99,,,,,,14,,,,,,
CHC,"Chris Bassit, SP BAL",1,2.99,,,,,,14,,,,,,
CHC,"Edwin Uceta, RP TB",1,1.99,,,,,,14,,,,,,
CHC,"Garrett Cleavinger, RP TB",1,0.51,,,,,,14,,,,,,
CHC,"Andrew Kittredge, RP BAL",1,0.51,,,,,,14,,,,,,
CHC,"George Springer, OF TOR",1,4.99,,,,,,14,,,,,,
CHC,"Willson Contreras, 1B BOS",1,3.99,,,,,,14,,,,,,
CHC,"Romy Gonzalez, 2B BOS",1,0.51,,,,,,14,,,,,,
CHC,"Trent Grisham, OF NYY",1,0.69,,,,,,14,,,,,,
CHC,"Yandy Diaz, 1B TB",1,3.99,,,,,,14,,,,,,
ARZ,"George Springer, OF TOR",1,2,,,,,,15,,,,,,
ARZ,"Yandy Diaz, 1B TB",3,2,,,,,,15,,,,,,
ARZ,"Max Fried, SP NYY",1,6.6,,,,,,15,,,,,,
ARZ,"Kevin Gausman, SP TOR",1,6.5,,,,,,15,,,,,,
ARZ,"Ranger Suarez, SP BOS",1,6.1,,,,,,15,,,,,,
ARZ,"Carlos Rodon, SP NYY",1,5,,,,,,15,,,,,,
ARZ,"Gerrit Cole, SP NYY",2,5.1,,,,,,15,,,,,,
ARZ,"Chris Bassit, SP BAL",1,3.6,,,,,,15,,,,,,
LAD,"Willson Contreras, 1B BOS",1,2.6,,,,,,16,,,,,,
LAD,"Yandy Diaz, 1B TB",1,1.6,,,,,,16,,,,,,
LAD,"Kazuma Okamoto, 3B TOR",2,2.6,,,,,,16,,,,,,
LAD,"Ernie Clement, 1B/2B/3B/SS TOR",3,0.6,,,,,,16,,,,,,
LAD,"Gavin Lux, 2B/OF TB",2,0.41,,,,,,16,,,,,,
LAD,"Trent Grisham, OF NYY",1,3.3,,,,,,16,,,,,,
LAD,"George Springer, OF TOR",1,4.2,,,,,,16,,,,,,
LAD,"Chris Bassit, SP BAL",1,1.1,,,,,,16,,,,,,
LAD,"Zach Eflin, SP BAL",3,0.5,,,,,,16,,,,,,
LAD,"Ranger Suarez, SP BOS",3,5.2,,,,,,16,,,,,,
LAD,"Max Fried, SP NYY",1,3.3,,,,,,16,,,,,,
LAD,"Carlos Rodon, SP NYY",1,4.6,,,,,,16,,,,,,
LAD,"Steven Matz, SP TB",2,0.42,,,,,,16,,,,,,
LAD,"Nick Martinez, SP TB",2,0.42,,,,,,16,,,,,,
LAD,"Kevin Gausman, SP TOR",1,3.3,,,,,,16,,,,,,
LAD,"Cody Ponce, SP TOR",3,1.3,,,,,,16,,,,,,
LAD,"Ryan Helsley, RP BAL",1,5.2,,,,,,16,,,,,,
LAD,"Camilo Doval, RP NYY",3,1.2,,,,,,16,,,,,,
LAD,"Edwin Uceta, RP TB",5,0.66,,,,,,16,,,,,,
TOR,"Ranger Suarez, SP BOS",2,4.9,,,,,,17,,,,,,
TOR,"Max Fried, SP NYY",2,5.4,,,,,,17,,,,,,
TOR,"Carlos Rodon, SP NYY",1,4.4,,,,,,17,,,,,,
TOR,"Steven Matz, SP TB",1,0.6,,,,,,17,,,,,,
TOR,"Kevin Gausman, SP TOR",1,5.1,,,,,,17,,,,,,
TOR,"Ryan Helsley, RP BAL",1,4.2,,,,,,17,,,,,,
TOR,"Nick Martinez, SP TB",1,0.6,,,,,,17,,,,,,
TOR,"Garrett Cleavinger, RP TB",1,2.9,,,,,,17,,,,,,
TOR,"George Springer, OF TOR",1,2.5,,,,,,17,,,,,,
ATL,"Kazuma Okamoto, 3B TOR",3,4,3.2,4,4.8,,,18,,3.2,4.8,3.2,4.8,TRUE
ATL,"George Springer, OF TOR",1,1.5,,,,,,18,,,,,,
ATL,"Willson Contreras, 1B BOS",3,4,3.2,4,4.8,,,18,,3.2,4.8,3.2,4.8,TRUE
ATL,"Trent Grisham, OF NYY",1,1.75,,,,,,18,,,,,,
ATL,"Ernie Clement, 1B/2B/3B/SS TOR",1,0.5,,,,,,18,,,,,,
ATL,"Max Fried, SP NYY",1,3,,,,,,18,,,,,,
ATL,"Kevin Gausman, SP TOR",1,3,,,,,,18,,,,,,
ATL,"Ryan Helsley, RP BAL",1,2.5,,,,,,18,,,,,,
ATL,"Nick Martinez, SP TB",1,1.75,,,,,,18,,,,,,
ATL,"Steven Matz, SP TB",1,0.6,,,,,,18,,,,,,
ATL,"Ranger Suarez, SP BOS",3,4,3.2,4,4.8,,,18,,3.2,4.8,3.2,4.8,TRUE
ATL,"Cody Ponce, SP TOR",1,0.9,,,,,,18,,,,,,
PIT,"Kazuma Okamoto, 3B TOR",4,2.76,,,,,,19,,,,,,
PIT,"Cody Ponce, SP TOR",2,1.26,,,,,,19,,,,,,
