Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
BOS,"Ozzie Albies, 2B ATL",4,2.37,,,,,,3,,,,,,
BOS,"Jurickson Profar, OF ATL",2,1.01,,,,,,3,,,,,,
BOS,"Jorge Polanco, 2B NYM",2,2.01,,,,,,3,,,,,,
BOS,"Marcus Semien, 2B NYM",1,1.01,,,,,,3,,,,,,
BOS,"Otto Lopez, 2B/SS MIA",3,0.62,,,,,,3,,,,,,
BOS,"Chris Sale, SP ATL",3,5.74,,,,,,3,,,,,,
BOS,"Aaron Nola, SP PHI",3,5.74,,,,,,3,,,,,,
BOS,"Sean Manaea, SP NYM",2,1.87,,,,,,3,,,,,,
BOS,"Kodai Senga, SP NYM",2,1.02,,,,,,3,,,,,,
BOS,"Clay Holmes, SP NYM",2,1.02,,,,,,3,,,,,,
BOS,"Taijuan Walker, SP PHI",3,0.73,,,,,,3,,,,,,
BOS,"Chris Paddack, SP MIA",3,0.52,,,,,,3,,,,,,
BOS,"Raisel Iglesias, RP ATL",1,5.67,,,,,,3,,,,,,
BOS,"Pete Fairbanks, RP MIA",1,4.37,,,,,,3,,,,,,
BOS,"Dylan Lee, RP ATL",4,0.41,,,,,,3,,,,,,
BOS,"Brooks Raley, RP NYM",3,0.4,,,,,,3,,,,,,
BOS,"Jose Alvarado, RP PHI",2,0.41,,,,,,3,,,,,,
MIL,"Aaron Nola, SP PHI",2,4,,,,,,4,,,,,,
MIL,"Jose Alvarado, RP PHI",2,1,,,,,,4,,,,,,
MIL,"Bryce Harper, 1B PHI",3,16.5,,,,,,4,,,,,,
MIL,"Jurickson Profar, OF ATL",3,2,,,,,,4,,,,,,
MIL,"Matt Olson, 1B ATL",2,7,,,,,,4,,,,,,
MIL,"Adolis Garcia, OF PHI",2,0.75,,,,,,4,,,,,,
MIL,"Kodai Senga, SP NYM",2,0.9,,,,,,4,,,,,,
NYY,"Francisco Lindor, SS NYM",1,12.5,,,,,,5,,,,,,
NYY,"Trea Turner, SS PHI",1,12,,,,,,5,,,,,,
NYY,"Chris Sale, SP ATL",1,9.5,,,,,,5,,,,,,
NYY,"Martin Perez, RP ATL",1,1,,,,,,5,,,,,,
NYY,"Bryce Elder, SP ATL",3,0.66,,,,,,5,,,,,,
NYY,"Sean Manaea, SP NYM",1,1.79,,,,,,5,,,,,,
NYY,"Clay Holmes, SP NYM",1,1.77,,,,,,5,,,,,,
NYY,"Kodai Senga, SP NYM",1,2.35,,,,,,5,,,,,,
NYY,"Brad Keller, RP PHI",1,0.85,,,,,,5,,,,,,
NYY,"Miles Mikolas, SP WAS",1,1,,,,,,5,,,,,,
NYY,"Otto Lopez, 2B/SS MIA",1,2.5,,,,,,5,,,,,,
CHC,"Robert Suarez, RP ATL",3,3.59,,,,,,6,,,,,,
CHC,"Raisel Iglesias, RP ATL",1,2.99,,,,,,6,,,,,,
CHC,"Jose Alvarado, RP PHI",1,1.99,,,,,,6,,,,,,
CHC,"Chris Sale, SP ATL",1,8.99,,,,,,6,,,,,,
CHC,"Aaron Nola, SP PHI",1,2.99,,,,,,6,,,,,,
CHC,"Sean Manaea, SP NYM",1,2.99,,,,,,6,,,,,,
CHC,"Kodai Senga, SP NYM",1,2.99,,,,,,6,,,,,,
CHC,"Joey Wentz, SP ATL",1,1.99,,,,,,6,,,,,,
CHC,"Dylan Lee, RP ATL",1,0.59,,,,,,6,,,,,,
CHC,"Trea Turner, SS PHI",1,7.99,,,,,,6,,,,,,
CHC,"Francisco Lindor, SS NYM",1,7.99,,,,,,6,,,,,,
CHC,"Matt Olson, 1B ATL",1,6.99,,,,,,6,,,,,,
CHC,"Bryce Harper, 1B PHI",1,6.99,,,,,,6,,,,,,
CHC,"Austin Riley, 3B ATL",2,6.99,,,,,,6,,,,,,
CHC,"Jurickson Profar, OF ATL",1,2.99,,,,,,6,,,,,,
CHC,"Marcus Semien, 2B NYM",1,2.99,,,,,,6,,,,,,
KC,"Foster Griffin, SP WAS",3,0.52,,,,,,7,,,,,,
ATL,"Trea Turner, SS PHI",3,4,3.2,4,4.8,,,8,,3.2,4.8,3.2,4.8,TRUE
ATL,"Francisco Lindor, SS NYM",3,4,3.2,4,4.8,,,8,,3.2,4.8,3.2,4.8,TRUE
ATL,"Bryce Harper, 1B PHI",3,4,3.2,4,4.8,,,8,,3.2,4.8,3.2,4.8,TRUE
ATL,"Ozzie Albies, 2B ATL",1,2.5,,,,,,8,,,,,,
ATL,"Jorge Polanco, 2B NYM",1,1.5,,,,,,8,,,,,,
ATL,"Otto Lopez, 2B/SS MIA",5,0.6,,,,,,8,,,,,,
ATL,"Starling Marte, OF NYM",1,0.4,,,,,,8,,,,,,
ATL,"Chris Sale, SP ATL",1,5,,,,,,8,,,,,,
ATL,"Raisel Iglesias, RP ATL",1,5,,,,,,8,,,,,,
ATL,"Pete Fairbanks, RP MIA",1,3,,,,,,8,,,,,,
ATL,"Aaron Nola, SP PHI",1,2,,,,,,8,,,,,,
ATL,"Sean Manaea, SP NYM",1,0.5,,,,,,8,,,,,,
ATL,"Kodai Senga, SP NYM",1,0.5,,,,,,8,,,,,,
ATL,"Robert Suarez, RP ATL",3,0.75,,,,,,8,,,,,,
ATL,"Miles Mikolas, SP WAS",1,0.5,,,,,,8,,,,,,
CLE,"Trea Turner, SS PHI",2,7.76,,,,,,9,,,,,,
CLE,"Francisco Lindor, SS NYM",3,7.76,,,,,,9,,,,,,
CLE,"Matt Olson, 1B ATL",2,8,,,,,,9,,,,,,
CLE,"Bryce Harper, 1B PHI",2,8,,,,,,9,,,,,,
CLE,"Austin Riley, 3B ATL",3,5.79,,,,,,9,,,,,,
CLE,"Ozzie Albies, 2B ATL",2,3.29,,,,,,9,,,,,,
CLE,"Jurickson Profar, OF ATL",2,2.8,,,,,,9,,,,,,
CLE,"Jorge Polanco, 2B NYM",1,3.01,,,,,,9,,,,,,
CLE,"Marcus Semien, 2B NYM",1,2.86,,,,,,9,,,,,,
CLE,"Adolis Garcia, OF PHI",2,1.29,,,,,,9,,,,,,
CLE,"Otto Lopez, 2B/SS MIA",2,2.37,,,,,,9,,,,,,
CLE,"Javier Sanoja, 2B/3B/SS/OF MIA",1,0.48,,,,,,9,,,,,,
CLE,"Chris Sale, SP ATL",2,9.01,,,,,,9,,,,,,
CLE,"Aaron Nola, SP PHI",3,3.89,,,,,,9,,,,,,
CLE,"Sean Manaea, SP NYM",2,2.35,,,,,,9,,,,,,
CLE,"Kodai Senga, SP NYM",2,2.79,,,,,,9,,,,,,
CLE,"Clay Holmes, SP NYM",2,1.1,,,,,,9,,,,,,
CLE,"Christian Scott, SP NYM",4,0.44,,,,,,9,,,,,,
ARZ,"Chris Sale, SP ATL",1,6,,,,,,10,,,,,,
ARZ,"Aaron Nola, SP PHI",1,3.6,,,,,,10,,,,,,
ARZ,"Sean Manaea, SP NYM",1,2.6,,,,,,10,,,,,,
ARZ,"Clay Holmes, SP NYM",1,1.5,,,,,,10,,,,,,
ARZ,"Kodai Senga, SP NYM",1,2.3,,,,,,10,,,,,,
ARZ,"Francisco Lindor, SS NYM",1,12.5,,,,,,10,,,,,,
ARZ,"Trea Turner, SS PHI",1,12.5,,,,,,10,,,,,,
ARZ,"Bryce Harper, 1B PHI",1,12.1,,,,,,10,,,,,,
ARZ,"Matt Olson, 1B ATL",1,10,,,,,,10,,,,,,
ARZ,"Austin Riley, 3B ATL",3,3,,,,,,10,,,,,,
ARZ,"Jurickson Profar, OF ATL",2,1.5,,,,,,10,,,,,,
OAK,"Matt Olson, 1B ATL",3,8.5,6.8,8.5,10.2,,,11,,6.8,10.2,6.8,10.2,TRUE
OAK,"Bryce Harper, 1B PHI",2,8.5,6.8,10.2,,,,11,,6.8,10.2,6.8,10.2,TRUE
OAK,"Ozzie Albies, 2B ATL",3,5.65,4.65,5.65,6.65,,,11,,4.65,6.65,4.52,6.78,TRUE
OAK,"Jorge Polanco, 2B NYM",1,3.8,,,,,,11,,,,,,
OAK,"Marcus Semien, 2B NYM",1,3.1,,,,,,11,,,,,,
OAK,"Otto Lopez, 2B/SS MIA",1,1.75,,,,,,11,,,,,,
OAK,"Austin Riley, 3B ATL",3,10.5,8.5,10.5,12.5,,,11,,8.5,12.5,8.4,12.6,TRUE
OAK,"Trea Turner, SS PHI",2,7.5,7,8,,,,11,,7,8,6,9,TRUE
OAK,"Francisco Lindor, SS NYM",2,8.25,7,9.5,,,,11,,7,9.5,6.6,9.9,TRUE
OAK,"Jurickson Profar, OF ATL",1,3.65,,,,,,11,,,,,,
OAK,"Brandon Marsh, OF PHI",3,1.15,,,,,,11,,,,,,
OAK,"Chris Sale, SP ATL",2,9.5,7.6,11.4,,,,11,,7.6,11.4,7.6,11.4,TRUE
OAK,"Aaron Nola, SP PHI",2,3.2,,,,,,11,,,,,,
OAK,"Sean Manaea, SP NYM",1,3.1,,,,,,11,,,,,,
OAK,"Kodai Senga, SP NYM",1,3.1,,,,,,11,,,,,,
OAK,"Clay Holmes, SP NYM",1,3.1,,,,,,11,,,,,,
OAK,"Raisel Iglesias, RP ATL",1,5.7,,,,,,11,,,,,,
OAK,"pete Fairbanks, RP MIA",1,4.95,,,,,,11,,,,,,
OAK,"Robert Suarez, RP ATL",3,2.15,,,,,,11,,,,,,
OAK,"Brad Keller, RP PHI",2,0.95,,,,,,11,,,,,,
OAK,"Foster Griffin, SP WAS",3,1.85,,,,,,11,,,,,,
PHI,"Chris Sale, SP ATL",2,6.5,,,,,,12,,,,,,
PHI,"Aaron Nola, SP PHI",2,6.5,,,,,,12,,,,,,
PHI,"Austin Riley, 3B ATL",3,8.5,,,,,,12,,,,,,
PHI,"Raisel Iglesias, RP ATL",1,2.5,,,,,,12,,,,,,
PHI,"Pete Fairbanks, RP MIA",1,2.5,,,,,,12,,,,,,
SEA,"Raisel Iglesias, RP ATL",1,6.01,,,,,,13,,,,,,
SEA,"Pete Fairbanks, RP MIA",1,7.01,,,,,,13,,,,,,
SEA,"Chris Sale, SP ATL",1,5.01,,,,,,13,,,,,,
SEA,"Chris Paddack, SP MIA",1,0.4,,,,,,13,,,,,,
SEA,"Sean Manaea, SP NYM",1,2.01,,,,,,13,,,,,,
SEA,"Aaron Nola, SP PHI",1,2.01,,,,,,13,,,,,,
SEA,"Foster Griffin, SP WAS",1,0.4,,,,,,13,,,,,,
SEA,"Miles Mikolas, SP WAS",1,0.4,,,,,,13,,,,,,
TOR,"Matt Olson, 1B ATL",3,7.2,,,,,,14,,,,,,
TOR,"Bryce Harper, 1B PHI",2,6.4,,,,,,14,,,,,,
TOR,"Ozzie Albies, 2B ATL",1,4.6,,,,,,14,,,,,,
TOR,"Francisco Lindor, SS NYM",2,7.8,,,,,,14,,,,,,
TOR,"Trea Turner, SS PHI",2,6.9,,,,,,14,,,,,,
TOR,"Austin Riley, 3B ATL",4,8,9.6,9.6,6.4,6.4,,14,,6.4,9.6,6.4,9.6,TRUE
TOR,"Chris Sale, SP ATL",1,3.9,,,,,,14,,,,,,
TOR,"Aaron Nola, SP PHI",2,5.1,,,,,,14,,,,,,
TOR,"Foster Griffin, SP WAS",3,0.6,,,,,,14,,,,,,
TOR,"Raisel Iglesias, RP ATL",1,4.8,,,,,,14,,,,,,
TOR,"Robert Suarez, RP ATL",2,3.2,,,,,,14,,,,,,
TOR,"Pete Fairbanks, RP MIA",2,3.9,,,,,,14,,,,,,
TOR,"Calvin Faucher, RP MIA",2,0.8,,,,,,14,,,,,,
TOR,"Brad Keller, RP PHI",2,0.45,,,,,,14,,,,,,
WAS,"Matt Olson, 1B ATL",3,13,,,,,,15,,,,,,
WAS,"Bryce Harper, 1B PHI",1,13,,,,,,15,,,,,,
WAS,"Ozzie Albies, 2B ATL",3,3,,,,,,15,,,,,,
WAS,"Jorge Polanco, 2B NYM",1,2,,,,,,15,,,,,,
WAS,"Marcus Semien, 2B NYM",1,2,,,,,,15,,,,,,
WAS,"Austin Riley, 3B ATL",4,5,,,,,,15,,,,,,
WAS,"Adolis Garcia, OF PHI",1,1,,,,,,15,,,,,,
WAS,"Brandon Marsh, OF PHI",2,1,,,,,,15,,,,,,
WAS,"Aaron Nola, SP PHI",1,4,,,,,,15,,,,,,
WAS,"Sean Manaea, SP NYM",1,2,,,,,,15,,,,,,
WAS,"Jose Alvarado, RP PHI",1,0.5,,,,,,15,,,,,,
WAS,"Brad Keller, RP PHI",1,0.5,,,,,,15,,,,,,
SD,"Ozzie Albies, 2B ATL",2,4.43,,,,,,16,,,,,,
SD,"Jorge Polanco, 2B NYM",2,4.43,,,,,,16,,,,,,
SD,"Aaron Nola, SP PHI",2,3.45,,,,,,16,,,,,,
