Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,AverageMatches,IsValid
CLE,"Steven Matz, SP STL",1,0.49,,,,,,12,,,,,,,
CLE,"Lance Lynn, SP FA",2,0.47,,,,,,12,,,,,,,
CLE,"Ryan Helsley, RP STL",2,5.51,,,,,,12,,,,,,,
CLE,"Ryan Pressly, RP CHC",1,3.8,,,,,,12,,,,,,,
CLE,"Bryan Hudson, RP MIL",1,0.55,,,,,,12,,,,,,,
CLE,"Joel Payamps, RP MIL",1,0.55,,,,,,12,,,,,,,
CLE,"Tony Santillan, RP CIN",3,1.16,,,,,,12,,,,,,,
CLE,"Jared Koenig, RP MIL",1,0.55,,,,,,12,,,,,,,
CLE,"Taylor Rogers, RP CIN",1,0.51,,,,,,12,,,,,,,
CLE,"Jojo Romero, RP STL",1,0.51,,,,,,12,,,,,,,
WAS,"Seiya Suzuki, OF CHC",2,6,,,,,,13,,,,,,,
WAS,"Shota Imanaga, SP CHC",3,6,,,,,,13,,,,,,,
WAS,"Justin Steele, SP CHC",3,7,6,7,8,,,13,,6,8,5.6,8.4,TRUE,TRUE
WAS,"Freddy Peralta, SP MIL",4,6.75,6,7,7,7,,13,,6,7,5.4,8.1,TRUE,TRUE
WAS,"Sonny Gray, SP CIN",2,3.5,,,,,,13,,,,,,,
WAS,"Matthew Boyd, SP CHC",1,1,,,,,,13,,,,,,,
TOR,"Alec Burleson, 1B/OF STL",4,3.2,,,,,,14,,,,,,,
TOR,"Seiya Suzuki, OF CHC",2,2.4,,,,,,14,,,,,,,
TOR,"Shota Imanaga, SP CHC",1,4.1,,,,,,14,,,,,,,
TOR,"Justin Steele, SP CHC",3,5.8,,,,,,14,,,,,,,
TOR,"Freddy Peralta, SP MIL",3,4.9,,,,,,14,,,,,,,
TOR,"Sonny Gray, SP CIN",1,5.2,,,,,,14,,,,,,,
TOR,"Ryan Helsley, RP STL",1,7.9,,,,,,14,,,,,,,
TOR,"Ryan Pressly, RP CHC",1,5.8,,,,,,14,,,,,,,
KC,"Alec Burleson, 1B/OF STL",1,2.52,,,,,,15,,,,,,,
KC,"Ryan Helsley, RP STL",1,9.52,,,,,,15,,,,,,,
KC,"Ryan Pressly, RP CHC",1,7.02,,,,,,15,,,,,,,
KC,"Lance Lynn, SP FA",3,1.02,,,,,,15,,,,,,,
KC,"Kyle Gibson, SP FA",1,0.42,,,,,,15,,,,,,,
PIT,"Isiah Kiner-Falefa, 2B/3B/SS PIT",1,0.61,,,,,,16,,,,,,,
PIT,"Seiya Suzuki, OF CHC",3,6.26,,,,,,16,,,,,,,
PIT,"Christian Yelich, OF MIL",1,3.26,,,,,,16,,,,,,,
PIT,"Alec Burleson, 1B/OF STL",4,2.76,,,,,,16,,,,,,,
PIT,"Justin Steele, SP CHC",3,6.76,,,,,,16,,,,,,,
PIT,"Sonny Gray, SP CIN",1,2.76,,,,,,16,,,,,,,
PIT,"Ryan Pressly, RP CHC",1,3.26,,,,,,16,,,,,,,
PIT,"Jameson Taillon, SP CHC",1,1.26,,,,,,16,,,,,,,
PIT,"Andre Pallante, RP STL",4,1.26,,,,,,16,,,,,,,
PIT,"Nick Martinez, RP CIN",2,2.26,,,,,,16,,,,,,,
PIT,"Joel Payamps, RP MIL",1,0.76,,,,,,16,,,,,,,
ATL,"Kyle Gibson, SP FA",1,1,,,,,,17,,,,,,,
