Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
ARZ,"Blake Snell, SP LAD",2,5,,,,,,4,,,,,,
ARZ,"Merrill Kelly, SP ARZ",1,3,,,,,,4,,,,,,
ARZ,"Roki Sasaki, SP LAD",5,0.5,,,,,,4,,,,,,
ARZ,"Alex Vesia, RP LAD",1,1,,,,,,4,,,,,,
SEA,"Ketel Marte, 2B ARZ",1,9.01,,,,,,5,,,,,,
SEA,"Kyle Tucker, OF LAD",2,9.01,,,,,,5,,,,,,
SEA,"Merrill Kelly, SP ARZ",1,5.01,,,,,,5,,,,,,
SEA,"Blake Snell, SP LAD",1,6.01,,,,,,5,,,,,,
SEA,"Teoscar Hernandez, OF LAD",1,7.01,,,,,,5,,,,,,
SEA,"Roki Sasaki, SP LAD",1,5.01,,,,,,5,,,,,,
SEA,"Max Muncy, 3B LAD",1,5.01,,,,,,5,,,,,,
SEA,"Fernando Tatis, Jr, OF SD",4,10.01,,,,,,5,,,,,,
SEA,"Xander Bogaerts, SS SD",1,5.01,,,,,,5,,,,,,
SEA,"Victor Vodnik, RP COL",1,0.4,,,,,,5,,,,,,
SEA,"Matt Chapman, 3B SF",1,5.01,,,,,,5,,,,,,
SEA,"Kevin Ginkel, RP ARZ",1,0.4,,,,,,5,,,,,,
SEA,"Kyle Freeland, SP COL",1,0.4,,,,,,5,,,,,,
SEA,"Eduardo Rodriguez, SP ARZ",1,0.4,,,,,,5,,,,,,
SEA,"Jose Quintana, SP COL",1,0.4,,,,,,5,,,,,,
SEA,"Michael Lorenzen, SP COL",1,0.4,,,,,,5,,,,,,
SEA,"Randy Vasquez, SP SD",4,0.4,,,,,,5,,,,,,
SEA,"Adrian Houser, SP SF",1,0.4,,,,,,5,,,,,,
DET,"Paul Sewald, RP ARZ",1,3,,,,,,6,,,,,,
DET,"Kevin Ginkel, RP ARZ",2,2,,,,,,6,,,,,,
ATL,"Kyle Tucker, OF LAD",1,5,,,,,,7,,,,,,
ATL,"Fernando Tatis, Jr, OF SD",5,5,,,,,,7,,,,,,
ATL,"Teoscar Hernandez, OF LAD",1,2.5,,,,,,7,,,,,,
ATL,"Max Muncy, 3B LAD",1,3.7,,,,,,7,,,,,,
ATL,"Ketel Marte, 2B ARZ",1,5,,,,,,7,,,,,,
ATL,"Matt Chapman, 3B SF",1,3.7,,,,,,7,,,,,,
ATL,"Xander Bogaerts, SS SD",1,3.75,,,,,,7,,,,,,
ATL,"Nolan Arenado, 3B ARZ",1,0.5,,,,,,7,,,,,,
ATL,"Harrison Bader, OF SF",1,0.75,,,,,,7,,,,,,
ATL,"Tyler Freeman, 2B/OF, COL",1,0.45,,,,,,7,,,,,,
ATL,"Blake Snell, SP LAD",1,3.5,,,,,,7,,,,,,
ATL,"Merrill Kelly, SP ARZ",1,2.75,,,,,,7,,,,,,
ATL,"JP Sears, SP SD",1,1,,,,,,7,,,,,,
ATL,"Adrian Houser, SP SF",1,0.5,,,,,,7,,,,,,
ATL,"Kevin Ginkel, RP ARZ",1,0.5,,,,,,7,,,,,,
ATL,"Adrian Morejon, RP SD",3,2,,,,,,7,,,,,,
ATL,"Roki Sasaki, SP LAD",1,1.5,,,,,,7,,,,,,
ATL,"Kyle Freeland, SP COL",1,0.5,,,,,,7,,,,,,
ATL,"Michael Lorenzen, SP COL",1,0.4,,,,,,7,,,,,,
ATL,"Tomiyuki Sugano, SP COL",1,0.4,,,,,,7,,,,,,
SD,"Roki Sasaki, SP LAD",3,4,2,4,6,,,8,,2,6,3.2,4.8,FALSE
SD,"Max Muncy, 3B LAD",1,4.17,,,,,,8,,,,,,
CLE,"Kyle Tucker, OF LAD",4,10.27,,,,,,9,,,,,,
CLE,"Fernando Tatis, Jr, OF SD",4,10.28,,,,,,9,,,,,,
CLE,"Ketel Marte, 2B ARZ",3,8.76,,,,,,9,,,,,,
CLE,"Teoscar Hernandez, OF LAD",2,5.07,,,,,,9,,,,,,
CLE,"Matt Chapman, 3B SF",3,2.89,,,,,,9,,,,,,
CLE,"Xander Bogaerts, SS SD",2,1.81,,,,,,9,,,,,,
CLE,"Blake Snell, SP LAD",3,5.58,,,,,,9,,,,,,
CLE,"Merrill Kelly, SP ARZ",2,2.77,,,,,,9,,,,,,
CLE,"Roki Sasaki, SP LAD",4,3.89,,,,,,9,,,,,,
CLE,"Eduardo Rodriguez, SP ARZ",2,2.1,,,,,,9,,,,,,
CLE,"Adrian Houser, SP SF",1,0.79,,,,,,9,,,,,,
CLE,"Walker Buehler, SP SD",3,0.69,,,,,,9,,,,,,
KC,"Ketel Marte, 2B ARZ",1,12.52,,,,,,10,,,,,,
KC,"Jake Cronenworth, 1B/2B/SS SD",1,1.02,,,,,,10,,,,,,
KC,"Sung-Mun Song, 2B SD",1,1.02,,,,,,10,,,,,,
KC,"Blake Snell, SP LAD",1,7.02,,,,,,10,,,,,,
CHC,"Kyle Tucker, OF LAD",3,10.92,9,10.8,12.96,,,11,,9,12.96,8.736,13.104,TRUE
CHC,"Fernando Tatis, Jr, OF SD",3,10.92,9,10.8,12.96,,,11,,9,12.96,8.736,13.104,TRUE
CHC,"Ketel Marte, 2B ARZ",2,6.99,,,,,,11,,,,,,
CHC,"Teoscar Hernandez, OF LAD",1,2.99,,,,,,11,,,,,,
CHC,"Matt Chapman, 3B SF",1,1.99,,,,,,11,,,,,,
CHC,"Blake Snell, SP LAD",1,2.99,,,,,,11,,,,,,
CHC,"Roki Sasaki, SP LAD",1,1.99,,,,,,11,,,,,,
CHC,"Jason Adam, RP SD",1,0.61,,,,,,11,,,,,,
CHC,"Kevin Ginkel, RP ARZ",1,0.41,,,,,,11,,,,,,
BOS,"Kyle Tucker, OF LAD",5,11.51,,,,,,12,,,,,,
BOS,"Fernando Tatis, Jr, OF SD",5,11.51,,,,,,12,,,,,,
BOS,"Ketel Marte, 2B ARZ",3,5.17,,,,,,12,,,,,,
BOS,"Teoscar Hernandez, OF LAD",2,4.51,,,,,,12,,,,,,
BOS,"Matt Chapman, 3B SF",3,2.01,,,,,,12,,,,,,
BOS,"Xander Bogaerts, SS SD",2,1.44,,,,,,12,,,,,,
BOS,"Nolan Arenado, 3B ARZ",3,2.79,,,,,,12,,,,,,
BOS,"Jake Cronenworth, 1B/2B/SS SD",3,0.51,,,,,,12,,,,,,
BOS,"Willi Castro, 2B/3B/OF COL",3,0.43,,,,,,12,,,,,,
BOS,"Blake Snell, SP LAD",3,3.12,,,,,,12,,,,,,
BOS,"Merrill Kelly, SP ARZ",2,3.12,,,,,,12,,,,,,
BOS,"Roki Sasaki, SP LAD",5,2.14,,,,,,12,,,,,,
BOS,"Randy Vasquez, SP SD",2,1.78,,,,,,12,,,,,,
BOS,"Joel Peguero, RP SF",3,0.51,,,,,,12,,,,,,
BOS,"Jason Adam, RP SD",1,0.4,,,,,,12,,,,,,
BOS,"Kevin Ginkel, RP ARZ",2,0.77,,,,,,12,,,,,,
BOS,"Adrian Morejon, RP SD",2,0.67,,,,,,12,,,,,,
BOS,"Tanner Scott, RP LAD",2,0.57,,,,,,12,,,,,,
BOS,"Alex Vesia, RP LAD",3,0.56,,,,,,12,,,,,,
BOS,"Blake Treinen, RP LAD",1,0.4,,,,,,12,,,,,,
OAK,"Merrill Kelly, SP ARZ",1,1.13,,,,,,13,,,,,,
OAK,"Willi Castro, 2B/3B/OF COL",1,0.85,,,,,,13,,,,,,
OAK,"Tyler Freeman, 2B/OF, COL",1,0.85,,,,,,13,,,,,,
OAK,"Max Muncy, 3B LAD",1,1.95,,,,,,13,,,,,,
OAK,"Teoscar Hernandez, OF LAD",1,4.55,,,,,,13,,,,,,
OAK,"Kyle Tucker, OF LAD",3,12.33,10,12.5,14.49,,,13,,10,14.49,9.864,14.796,TRUE
OAK,"Blake Snell, SP LAD",2,5.87,,,,,,13,,,,,,
OAK,"Roki Sasaki, SP LAD",2,3.53,,,,,,13,,,,,,
OAK,"Alex Vesia, RP LAD",1,1.17,,,,,,13,,,,,,
OAK,"Fernando Tatis, Jr, OF SD",5,12.3,10,10,12.5,14.5,14.5,13,,10,14.5,9.84,14.76,TRUE
OAK,"Xander Bogaerts, SS SD",1,2.01,,,,,,13,,,,,,
OAK,"Jake Cronenworth, 1B/2B/SS SD",1,0.88,,,,,,13,,,,,,
OAK,"Adrian Morejon, RP SD",3,1.05,,,,,,13,,,,,,
OAK,"Jason Adam, RP SD",1,0.53,,,,,,13,,,,,,
OAK,"Matt Chapman, 3B SF",1,2.38,,,,,,13,,,,,,
ARZ,"Adrian Houser, SP SF",1,2,,,,,,14,,,,,,
ARZ,"Eduardo Rodriguez, SP ARZ",1,2,,,,,,14,,,,,,
WAS,"Xander Bogaerts, SS SD",2,2,,,,,,15,,,,,,
WAS,"Nolan Arenado, 3B ARZ",1,0.5,,,,,,15,,,,,,
WAS,"Teoscar Hernandez, OF LAD",1,2,,,,,,15,,,,,,
WAS,"Merrill Kelly, SP ARZ",1,0.5,,,,,,15,,,,,,
WAS,"Jason Adam, RP SD",1,1.5,,,,,,15,,,,,,
WAS,"Kevin Ginkel, RP ARZ",1,0.5,,,,,,15,,,,,,
WAS,"Adrian Morejon, RP SD",1,0.5,,,,,,15,,,,,,
WAS,"Alex Vesia, RP LAD",2,1.5,,,,,,15,,,,,,
OAK,"Ketel Marte, 2B ARZ",2,10,8,12,,,,16,,8,12,8,12,TRUE
LAD,"Ketel Marte, 2B ARZ",1,12.2,,,,,,17,,,,,,
LAD,"Willi Castro, 2B/3B/OF COL",2,0.51,,,,,,17,,,,,,
LAD,"Sung-Mun Song, 2B SD",3,0.4,,,,,,17,,,,,,
LAD,"Max Muncy, 3B LAD",1,2.8,,,,,,17,,,,,,
LAD,"Kyle Tucker, OF LAD",2,13.2,,,,,,17,,,,,,
LAD,"Fernando Tatis, Jr, OF SD",2,12.2,,,,,,17,,,,,,
LAD,"Teoscar Hernandez, OF LAD",1,4.8,,,,,,17,,,,,,
LAD,"Roki Sasaki, SP LAD",5,7.1,,,,,,17,,,,,,
LAD,"Joel Peguero, RP SF",5,0.4,,,,,,17,,,,,,
PHI,"Fernando Tatis, Jr, OF SD",3,15,,,,,,18,,,,,,
PHI,"Ketel Marte, 2B ARZ",2,9.5,,,,,,18,,,,,,
DET,"Matt Chapman, 3B SF",1,5.1,,,,,,19,,,,,,
TOR,"Ketel Marte, 2B ARZ",3,7.9,,,,,,20,,,,,,
TOR,"Xander Bogaerts, SS SD",2,2.4,,,,,,20,,,,,,
TOR,"Teoscar Hernandez, OF LAD",2,5.2,,,,,,20,,,,,,
TOR,"Kyle Tucker, OF LAD",3,14.7,,,,,,20,,,,,,
TOR,"Fernando Tatis, Jr, OF SD",4,8.9,,,,,,20,,,,,,
TOR,"Merrill Kelly, SP ARZ",1,2.8,,,,,,20,,,,,,
TOR,"Blake Snell, SP LAD",1,5.6,,,,,,20,,,,,,
TOR,"Roki Sasaki, SP LAD",5,3.2,,,,,,20,,,,,,
TOR,"Triston McKenzie, SP SD",3,0.6,,,,,,20,,,,,,
TOR,"Alex Vesia, RP LAD",3,1.9,,,,,,20,,,,,,
