[b]LAD[/b],,,,,,,[b]LAD[/b]
Kirby Yates, RP TOR, 1 year at 11.43 per year,,,,,"Kirby Yates, RP TOR, 1 year at 11.43 per year"
Adam Ottavino, RP BOS, 1 year at 2.73 per year,,,,,"Adam Ottavino, RP BOS, 1 year at 2.73 per year"
Tanner Scott, RP BAL, 2 years at 1.73 per year,,,,,"Tanner Scott, RP BAL, 2 years at 1.73 per year"
Ryan Brasier, RP BOS, 1 year at 0.83 per year,,,,,"Ryan Brasier, RP BOS, 1 year at 0.83 per year"
,,,,,,,
[b]ARZ[/b],,,,,,,[b]ARZ[/b]
Cesar Valdez, P BAL, 1 year at 0.50 per year,,,,,"Cesar Valdez, P BAL, 1 year at 0.50 per year"
Darren O'Day, RP BAL, 1 year at 0.60 per year,,,,,"Darren O'Day, RP BAL, 1 year at 0.60 per year"
,,,,,,,
[b]SEA[/b],,,,,,,[b]SEA[/b]
Gio Urshela, 3B NYY, 3 years at 5.00 per year,,,,,"Gio Urshela, 3B NYY, 3 years at 5.00 per year"
,,,,,,,
[b]NYY[/b],,,,,,,[b]NYY[/b]
Kevin Kiermeier, OF TB, 1 year at 0.95 per year,,,,,"Kevin Kiermeier, OF TB, 1 year at 0.95 per year"
Rio Ruiz, 3B BAL, 1 year at 1.55 per year,,,,,"Rio Ruiz, 3B BAL, 1 year at 1.55 per year"
Mike Brosseau, 3B TB, 2 years at 0.45 per year,,,,,"Mike Brosseau, 3B TB, 2 years at 0.45 per year"
,,,,,,,
[b]TB[/b],,,,,,,[b]TB[/b]
Joey Wendell, 2B TB, 2 years at 2.00 per year,,,,,"Joey Wendell, 2B TB, 2 years at 2.00 per year"
,,,,,,,
[b]ATL[/b],,,,,,,[b]ATL[/b]
Eduardo Rodriguez, SP BOS, 3 years at 5.50 per year,,,,,"Eduardo Rodriguez, SP BOS, 3 years at 5.50 per year"
Rich Hill, SP TB, 1 year at 1.50 per year,,,,,"Rich Hill, SP TB, 1 year at 1.50 per year"
Ji-Man Choi, 1B TB, 1 year at 0.40 per year,,,,,"Ji-Man Choi, 1B TB, 1 year at 0.40 per year"
Jorge Lopez, P BAL, 1 year at 0.60 per year,,,,,"Jorge Lopez, P BAL, 1 year at 0.60 per year"
Felix Hernandez, P BAL, 1 year at 0.50 per year,,,,,"Felix Hernandez, P BAL, 1 year at 0.50 per year"
,,,,,,,
[b]TOR[/b],,,,,,,[b]TOR[/b]
JD Martinez, DH BOS, 2 years at 13.30 per year,,,,,"JD Martinez, DH BOS, 2 years at 13.30 per year"
Giancarlo Stanton, DH NYY, 3 years at 9.90 per year,,,,,"Giancarlo Stanton, DH NYY, 3 years at 9.90 per year"
Zack Britton, RP NYY, 2 years at 3.90 per year,,,,,"Zack Britton, RP NYY, 2 years at 3.90 per year"
,,,,,,,
[b]WAS[/b],,,,,,,[b]WAS[/b]
Gerrit Cole, SP NYY, 1 year at 18.00 per year,,,,,"Gerrit Cole, SP NYY, 1 year at 18.00 per year"
Robbie Ray, SP TOR, 1 year at 6.00 per year,,,,,"Robbie Ray, SP TOR, 1 year at 6.00 per year"
Randal Grichuk, OF TOR, 2 years at 6.00 per year,,,,,"Randal Grichuk, OF TOR, 2 years at 6.00 per year"
Tanner Roark, P TOR, 1 year at 3.00 per year,,,,,"Tanner Roark, P TOR, 1 year at 3.00 per year"
Matt Harvey, P BAL, 1 year at 0.50 per year,,,,,"Matt Harvey, P BAL, 1 year at 0.50 per year"
