Myles Straw, OF HOU, 3.0 years at 2.02 per year,,,,"Myles Straw, OF HOU, 3.0 years at 2.02 per year"
,,,,,,
[b]ATL[/b],,,,,,[b]ATL[/b]
Jordan Lyles, SP TEX, 1.0 year at 0.40 per year,,,,"Jordan Lyles, SP TEX, 1.0 year at 0.40 per year"
Elvis Andrus, SS OAK, 1.0 year at 3.25 per year,,,,"Elvis Andrus, SS OAK, 1.0 year at 3.25 per year"
,,,,,,
[b]PHI[/b],,,,,,[b]PHI[/b]
Jose Altuve, 2B HOU, 3.0 years at 12.40 per year,,,,"Jose Altuve, 2B HOU, 3.0 years at 12.40 per year"
Sergio Romo, RP OAK, 1.0 year at 0.65 per year,,,,"Sergio Romo, RP OAK, 1.0 year at 0.65 per year"
,,,,,,
[b]SD[/b],,,,,,[b]SD[/b]
Mike Foltynewicz, SP TEX, 3.0 years at 2.43 per year,,,,"Mike Foltynewicz, SP TEX, 3.0 years at 2.43 per year"
,,,,,,
[b]TOR[/b],,,,,,[b]TOR[/b]
JB Wendelken, RP OAK, 3.0 years at 2.10 per year,,,,"JB Wendelken, RP OAK, 3.0 years at 2.10 per year"
Isiah Kiner-Falefa, 3B TEX, 4.0 years at 2.20 per year,,,,"Isiah Kiner-Falefa, 3B TEX, 4.0 years at 2.20 per year"
,,,,,,
[b]WAS[/b],,,,,,[b]WAS[/b]
Kyle Seager, 3B SEA, 1.0 year at 5.00 per year,,,,"Kyle Seager, 3B SEA, 1.0 year at 5.00 per year"
Dexter Fowler, OF LAA, 1.0 year at 1.00 per year,,,,"Dexter Fowler, OF LAA, 1.0 year at 1.00 per year"
